,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
1,.NET软件工程师,深圳均辉华惠国际货运有限公司,外资（非欧美）,150-500人,交通/运输/物流,0.8-1万/月,深圳,1年经验,本科,招3人,"['高温补贴', '带薪年假', '包住宿', '节日福利', '年终奖金', '五险一金']",3,8.0,10.0,1
3,高薪ASP.NET工程师 不加班,深圳云易智慧网络科技有限公司,民营公司,少于50人,"计算机软件,互联网/电子商务",1-1.6万/月,深圳,3-4年经验,大专,招若干人,"['五险一金', '不加班', '年终奖金', '周末双休']",3,10.0,16.0,1
4,Android&.net开发工程师,深圳市澳斯联科实业有限公司,合资,50-150人,计算机服务(系统、数据服务、维修),0.8-1.5万/月,深圳,2年经验,大专,招若干人,"['五险一金', '周末双休']",3,8.0,15.0,1
6,.NET开发工程师(职位编号：001052019),和记生活易信息咨询（深圳）有限公司,外资（非欧美）,少于50人,"计算机软件,互联网/电子商务",1-1.5万/月,深圳,2年经验,大专,招2人,[],3,10.0,15.0,1
7,.NET 工程师,深圳市菲恩测控科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,0.8-1.2万/月,深圳,1年经验,大专,招1人,"['五险一金', '周末双休', '带薪年假', '节日福利']",3,8.0,12.0,1
8,.NET开发工程师,深圳市创联互动软件科技有限公司,创业公司,50-150人,"计算机软件,网络游戏",1.1-2万/月,深圳,3-4年经验,大专,招1人,"['五险一金', '员工旅游', '年终奖金', '弹性工作', '定期体检']",3,11.0,20.0,1
9,.net高级工程师,深圳市鸿月盛科技有限公司,民营公司,50-150人,"贸易/进出口,批发/零售",1-1.5万/月,深圳,5-7年经验,本科,招1人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金']",3,10.0,15.0,1
10,.NET高级开发工程师,中咨联教育技术（深圳）有限公司,民营公司,50-150人,"教育/培训/院校,计算机软件",1.2-2万/月,深圳,3-4年经验,本科,招6人,['五险一金'],3,12.0,20.0,1
11,ASP.NET开发工程师,深圳市芥子计划科技有限公司,外资（非欧美）,少于50人,计算机软件,0.8-1.1万/月,深圳,1年经验,大专,招2人,"['五险一金', '年度奖金']",3,8.0,11.0,1
12,C#.net开发工程师,深圳市天狐互娱科技有限公司,民营公司,50-150人,"网络游戏,计算机软件",0.8-1.2万/月,深圳,2年经验,大专,招1人,"['五险一金', '带薪年假', '住房补贴', '交通补贴', '节日福利']",3,8.0,12.0,1
