,Unnamed: 0,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,ReleaseTime,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
0,0,C#高级开发工程师,上海北溟数据科技有限公司,合资,150-500人,金融/投资/证券,1.8-2.5万/月,上海,5-7年经验,大专,招2人,03-24发布,五险一金;餐饮补贴;专业培训;绩效奖金;带薪年假;节日福利;年终奖金;周末双休;餐补;晋升机会,3,18.0,25.0,1
1,1,C#高级软件开发工程师,南京朗赢信息技术有限公司,国企,50-150人,计算机服务(系统、数据服务、维修),1-1.5万/月,南京,3-4年经验,本科,招5人,03-24发布,五险一金;绩效奖金;员工旅游,3,10.0,15.0,1
2,2,Java、C#、C++开发员,山西大运汽车销售有限公司,民营公司,1000-5000人,机械/设备/重工,3-4.5千/月,运城,2年经验,本科,招若干人,03-24发布,带薪年假;五险一金;包吃;包三餐;包住宿;绩效奖金;节日福利;专业培训;高温补贴,2,3.0,4.5,1
3,3,.NET开发工程师（C#WPF）,广州云作科技有限公司,民营公司,50-150人,计算机软件,1-1.6万/月,广州,2年经验,大专,招3人,03-24发布,五险一金;餐饮补贴;交通补贴;年终奖金,3,10.0,16.0,1
4,4,C#开发经理,新印科技股份有限公司,民营公司,500-1000人,印刷/包装/造纸,1-1.5万/月,长沙,无工作经验,不限学历,招若干人,03-24发布,五险一金;带薪年假;节日福利;周末双休;餐饮补贴;包吃;包住宿,3,10.0,15.0,1
5,5,C#/WPF开发工程师,北京天睿空间科技股份有限公司,民营公司,50-150人,计算机软件,1.2-1.8万/月,北京,3-4年经验,本科,招1人,03-24发布,五险一金;通讯补贴;餐饮补贴;弹性工作;定期体检,3,12.0,18.0,1
6,6,C#软件工程师,上海欣电信息技术有限公司,民营公司,少于50人,计算机软件,0.6-1万/月,武汉,2年经验,本科,招2人,03-24发布,五险一金,3,6.0,10.0,1
7,7,.net高级软件工程师/C#高级软件开发/asp.net工程师,竞优信息技术（上海）有限公司北京分公司,外资（非欧美）,500-1000人,计算机软件,1-1.5万/月,北京,3-4年经验,本科,招4人,03-24发布,五险一金;绩效奖金;通讯补贴;员工旅游;周末双休;带薪年假,3,10.0,15.0,1
8,8,c#/.net软件工程师,深圳市百威智能科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,0.3-1万/月,深圳,1年经验,本科,招3人,03-24发布,五险一金,3,3.0,10.0,1
9,9,软件开发工程师（MES开发工程师（c#））,重庆渝江压铸有限公司,民营公司,5000-10000人,机械/设备/重工,0.6-1.2万/月,重庆,2年经验,不限学历,招1人,03-23发布,年终奖金;专业培训;免费班车;餐饮补贴;五险,3,6.0,12.0,1
10,10,C#高级软件开发工程师,武汉三佳医疗信息技术有限公司,民营公司,50-150人,计算机软件,0.6-1.3万/月,武汉,5-7年经验,大专,招若干人,03-23发布,绩效奖金;年终奖金;五险,3,6.0,13.0,1
