,Unnamed: 0,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,ReleaseTime,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
0,0,Java高级开发工程师,武汉市优博讯软件科技有限公司,民营公司,50-150人,计算机软件,1.2-1.8万/月,武汉,5-7年经验,本科,招2人,03-24发布,五险一金;补充医疗保险;绩效奖金;年终奖金;专业培训;弹性工作,3,12,18,1
1,1,java大数据开发,西安网盟网络科技有限公司,民营公司,50-150人,互联网/电子商务,6-8千/月,南京,无工作经验,大专,招6人,03-24发布,周末双休;弹性工作;带薪年假;五险一金;交通补贴;通讯补贴;住房补贴;餐饮补贴;节日福利;员工旅游,2,6,8,1
2,2,"Java开发工程师				(职位编号：01)",南京维数软件股份有限公司,民营公司,150-500人,计算机软件,6-8千/月,南昌,2年经验,本科,招3人,03-24发布,五险一金;餐饮补贴;年终奖金;弹性工作,2,6,8,1
3,3,Java高级开发工程师,湖南讯飞启明科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),1-2万/月,长沙,5-7年经验,本科,招5人,03-24发布,五险一金;员工旅游;补充公积金;餐饮补贴;通讯补贴;绩效奖金;年终奖金;定期体检,3,10,20,1
4,4,Java高级工程师,广州越际知鸿教育科技有限公司,上市公司,150-500人,教育/培训/院校,1.2-1.5万/月,广州,3-4年经验,大专,招1人,03-24发布,五险一金;绩效奖金;周末双休;节日福利;带薪年假,3,12,15,1
5,5,高级Java开发工程师,浙江远传信息技术股份有限公司,民营公司,500-1000人,计算机软件,1.3-1.7万/月,杭州,5-7年经验,本科,招8人,03-24发布,五险一金;员工旅游;餐饮补贴;专业培训;年终奖金;定期体检,3,13,17,1
6,6,"JavaEngineer				(职位编号：R01)",上海岱澳企业管理咨询有限公司,民营公司,150-500人,专业服务(咨询、人力资源、财会),1.2-2万/月,广州,5-7年经验,本科,招20人,03-24发布,五险一金;定期体检;员工旅游;专业培训;做五休二;周末双休;带薪年假;节日福利,3,12,20,1
7,8,java中高级工程师,北京市嘉桦生物技术有限公司,民营公司,少于50人,快速消费品(食品、饮料、化妆品),1-1.5万/月,北京市,无工作经验,大专,招1人,03-24发布,五险一金;员工旅游;年终奖金,3,10,15,1
8,9,Java中级开发工程师,深圳市中兴新云服务有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),0.8-1.2万/月,长春,3-4年经验,本科,招若干人,03-24发布,周末双休;带薪年假;五险一金;绩效奖金;节日福利;餐饮补贴;交通补贴;地铁口;交通便利;办公环境舒适,3,8,12,1
9,10,Java开发工程师（江浙沪出差）,上海天正软件有限公司,民营公司,500-1000人,计算机软件,1-1.5万/月,上海,无工作经验,不限学历,招5人,03-24发布,五险一金;员工旅游;年终奖金;专业培训;定期体检;餐饮补贴,3,10,15,1
10,11,Java游戏开发工程师,江苏嘉羿科技有限公司,民营公司,50-150人,计算机软件,0.5-1万/月,南京,3-4年经验,本科,招1人,03-24发布,五险一金;交通补贴;通讯补贴;绩效奖金;餐饮补贴;带薪年假;做五休二;周末双休;专业培训;节日福利,3,5,10,1
11,12,包吃住java开发双休,沈阳远信华通科技有限公司,上市公司,500-1000人,计算机软件,3-4.5千/月,沈阳,无工作经验,中专,招若干人,03-24发布,五险一金;包吃;周末双休;弹性工作;带薪年假;交通补贴;节日福利;加班补贴;餐饮补贴,2,3,4.5,1
12,13,Java开发工程师,红板凳科技股份有限公司,民营公司,50-150人,计算机软件,1-1.5万/月,北京市,3-4年经验,大专,招1人,03-24发布,五险一金;餐饮补贴;周末双休,3,10,15,1
13,14,java工程师/系统运维工程师,（株）名川网络软件科技,外资（非欧美）,少于50人,计算机软件,2-2.5万/月,上海,无工作经验,不限学历,招5人,03-24发布,五险一金;员工旅游;出国机会;交通补贴;年终奖金,3,20,25,1
14,16,java高级软件工程师,山东海看网络科技有限公司,国企,150-500人,影视/媒体/艺术/文化传播,0.6-1万/月,济南,3-4年经验,本科,招4人,03-24发布,五险一金;餐饮补贴;绩效奖金;年终奖金;定期体检;带薪休假;节日福利;周末双休;不加班,3,6,10,1
15,17,Java高级开发工程师/高级程序员（双休五险一金）,北京市高鸿兴科信息技术有限公司,民营公司,50-150人,计算机软件,1-2万/月,武汉,5-7年经验,本科,招若干人,03-24发布,五险一金;员工旅游;通讯补贴;定期体检;绩效奖金,3,10,20,1
16,20,Java高级程序员,上海企能软件科技有限公司,民营公司,50-150人,计算机软件,1-1.5万/月,上海,3-4年经验,本科,招2人,03-24发布,五险一金,3,10,15,1
17,21,Java软件工程师（时空信息云平台）,湖北地信科技集团股份有限公司,合资,150-500人,计算机软件,1-1.6万/月,武汉,5-7年经验,本科,招1人,03-24发布,五险一金;交通补贴;餐饮补贴;通讯补贴;年终奖金;定期体检;弹性工作;绩效奖金;员工旅游,3,10,16,1
18,22,Java开发工程师,北京市乐智才云信息科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,1.5-2万/月,北京市,5-7年经验,本科,招1人,03-24发布,五险一金,3,15,20,1
19,23,Java高级研发工程师,中电科新型智慧城市研究院有限公司,国企,150-500人,计算机服务(系统、数据服务、维修),0.8-1.5万/月,福州,无工作经验,不限学历,招若干人,03-24发布,五险一金;餐饮补贴;通讯补贴;定期体检;年终奖金;专业培训,3,8,15,1
20,24,Java开发工程师,杭州尤拉夫科技有限公司,民营公司,少于50人,计算机软件,0.5-1.5万/月,杭州,1年经验,大专,招若干人,03-24发布,五险一金;员工旅游;年终奖金;绩效奖金;专业培训;弹性工作,3,5,15,1
21,25,Java开发工程师,广州市唯景互娱信息科技有限公司,民营公司,50-150人,计算机软件,0.6-1.5万/月,珠海,3-4年经验,本科,招20人,03-24发布,五险一金,3,6,15,1
22,27,Java开发工程师,武汉市瑞思信息技术有限公司,民营公司,50-150人,计算机软件,0.8-1万/月,武汉,2年经验,本科,招1人,03-24发布,五险一金;专业培训;员工旅游;餐饮补贴;通讯补贴;绩效奖金;年终奖金;交通补贴;过节费,3,8,10,1
23,28,Java开发工程师,广东知一数据有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),1-1.5万/月,广州,3-4年经验,大专,招2人,03-24发布,五险一金;年终奖金;绩效奖金;通讯补贴;餐饮补贴;交通补贴,3,10,15,1
24,29,Java开发工程师,中航工程集成设备有限公司,国企,500-1000人,航天/航空,1.2-2.5万/月,北京市,2年经验,本科,招1人,03-24发布,五险一金;免费班车;交通补贴;餐饮补贴;通讯补贴;专业培训;绩效奖金;年终奖金;定期体检;节假日福利,3,12,25,1
25,30,Java开发工程师,北京市腾信软创科技股份有限公司,上市公司,1000-5000人,计算机软件,1.2-1.9万/月,深圳,3-4年经验,本科,招3人,03-24发布,五险一金;餐饮补贴;专业培训;员工旅游;周末双休;法定节假日,3,12,19,1
26,31,Java开发工程师,杭州筑家易电子商务有限公司,民营公司,150-500人,计算机软件,1-1.5万/月,杭州,2年经验,大专,招1人,03-24发布,五险一金,3,10,15,1
