Java开发工程师,南京两岸生花文化传播有限公司,民营公司,150-500人,计算机软件,0.8-1.6万/月,南京-鼓楼区,1年经验,大专,招8人,03-24发布,,,五险一金;补充公积金;股票期权;年终奖金;绩效奖金;员工旅游;定期体检;交通补贴;餐饮补贴;补充医疗保险,
Java高级开发工程师,武汉市优博讯软件科技有限公司,民营公司,50-150人,计算机软件,1.2-1.8万/月,武汉-东湖新技术产业开发区,5-7年经验,本科,招2人,03-24发布,英语熟练,软件工程 计算机科学与技术,五险一金;补充医疗保险;绩效奖金;年终奖金;专业培训;弹性工作,
java大数据开发,西安网盟网络科技有限公司,民营公司,50-150人,互联网/电子商务,6-8千/月,南京-江宁区,无工作经验,大专,招6人,03-24发布,,,周末双休;弹性工作;带薪年假;五险一金;交通补贴;通讯补贴;住房补贴;餐饮补贴;节日福利;员工旅游,
Java开发工程师				(职位编号：01),南京维数软件股份有限公司,民营公司,150-500人,计算机软件,6-8千/月,南昌-红谷滩新区,2年经验,本科,招3人,03-24发布,,,五险一金;餐饮补贴;年终奖金;弹性工作,
Java高级开发工程师,湖南讯飞启明科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),1-2万/月,长沙,5-7年经验,本科,招5人,03-24发布,,计算机科学与技术 软件工程,五险一金;员工旅游;补充公积金;餐饮补贴;通讯补贴;绩效奖金;年终奖金;定期体检,
Java高级工程师,广州越际知鸿教育科技有限公司,上市公司,150-500人,教育/培训/院校,1.2-1.5万/月,广州-越秀区,3-4年经验,大专,招1人,03-24发布,,,五险一金;绩效奖金;周末双休;节日福利;带薪年假,
高级Java开发工程师,浙江远传信息技术股份有限公司,民营公司,500-1000人,计算机软件,1.3-1.7万/月,杭州-滨江区,5-7年经验,本科,招8人,03-24发布,,,五险一金;员工旅游;餐饮补贴;专业培训;年终奖金;定期体检,
JavaEngineer				(职位编号：R01),上海岱澳企业管理咨询有限公司,民营公司,150-500人,专业服务(咨询、人力资源、财会),1.2-2万/月,广州-天河区,5-7年经验,本科,招20人,03-24发布,英语,,五险一金;定期体检;员工旅游;专业培训;做五休二;周末双休;带薪年假;节日福利,
高级JAVA工程师,上海和沁经贸有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),1.5-2.5万/月,上海-闵行区,3-4年经验,本科,招1人,03-24发布,,,五险一金;餐饮补贴;绩效奖金;定期体检,
java中高级工程师,北京嘉桦生物技术有限公司,民营公司,少于50人,快速消费品(食品、饮料、化妆品),1-1.5万/月,北京-朝阳区,无工作经验,大专,招1人,03-24发布,,,五险一金;员工旅游;年终奖金,
Java中级开发工程师,深圳市中兴新云服务有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),0.8-1.2万/月,长春,3-4年经验,本科,招若干人,03-24发布,,,周末双休;带薪年假;五险一金;绩效奖金;节日福利;餐饮补贴;交通补贴;地铁口;交通便利;办公环境舒适,
Java开发工程师（江浙沪出差）,上海天正软件有限公司,民营公司,500-1000人,计算机软件,1-1.5万/月,上海,无工作经验,,招5人,03-24发布,,,五险一金;员工旅游;年终奖金;专业培训;定期体检;餐饮补贴,
Java游戏开发工程师,江苏嘉羿科技有限公司,民营公司,50-150人,计算机软件,0.5-1万/月,南京-栖霞区,3-4年经验,本科,招1人,03-24发布,,计算机科学与技术 软件工程,五险一金;交通补贴;通讯补贴;绩效奖金;餐饮补贴;带薪年假;做五休二;周末双休;专业培训;节日福利,
包吃住java开发双休,沈阳远信华通科技有限公司,上市公司,500-1000人,计算机软件,3-4.5千/月,沈阳,无工作经验,中专,招若干人,03-24发布,,,五险一金;包吃;周末双休;弹性工作;带薪年假;交通补贴;节日福利;加班补贴;餐饮补贴,
Java开发工程师,红板凳科技股份有限公司,民营公司,50-150人,计算机软件,1-1.5万/月,北京-海淀区,3-4年经验,大专,招1人,03-24发布,,,五险一金;餐饮补贴;周末双休,
java工程师/系统运维工程师,（株）名川网络软件科技,外资（非欧美）,少于50人,计算机软件,2-2.5万/月,上海,无工作经验,,招5人,03-24发布,,,五险一金;员工旅游;出国机会;交通补贴;年终奖金,
JAVA研发工程师,江苏国贸酝领智能科技股份有限公司,民营公司,150-500人,计算机软件,6-8千/月,苏州,无工作经验,,招若干人,03-24发布,,,五险一金;员工旅游;交通补贴;年终奖金;专业培训;通讯补贴;餐饮补贴;定期体检,
java高级软件工程师,山东海看网络科技有限公司,国企,150-500人,影视/媒体/艺术/文化传播,0.6-1万/月,济南-历下区,3-4年经验,本科,招4人,03-24发布,,,五险一金;餐饮补贴;绩效奖金;年终奖金;定期体检;带薪休假;节日福利;周末双休;不加班,
Java高级开发工程师/高级程序员（双休五险一金）,北京高鸿兴科信息技术有限公司,民营公司,50-150人,计算机软件,1-2万/月,武汉-洪山区,5-7年经验,本科,招若干人,03-24发布,,软件工程 计算机科学与技术,五险一金;员工旅游;通讯补贴;定期体检;绩效奖金,
JAVA开发工程师,兰州乐智教育科技有限责任公司,国企,150-500人,计算机软件,6-8千/月,兰州,无工作经验,本科,招10人,03-24发布,,,五险一金;交通补贴;餐饮补贴;年终奖金;通讯补贴;专业培训;绩效奖金;定期体检,
急聘JAVA工程师,沈阳飞斯特科技有限公司,民营公司,少于50人,计算机软件,0.5-1万/月,沈阳,3-4年经验,本科,招5人,03-24发布,,,五险一金;年终奖金;餐饮补贴,
Java高级程序员,上海企能软件科技有限公司,民营公司,50-150人,计算机软件,1-1.5万/月,上海-松江区,3-4年经验,本科,招2人,03-24发布,英语良好,计算机科学与技术 计算机应用,,
Java软件工程师（时空信息云平台）,湖北地信科技集团股份有限公司,合资,150-500人,计算机软件,1-1.6万/月,武汉,5-7年经验,本科,招1人,03-24发布,,,五险一金;交通补贴;餐饮补贴;通讯补贴;年终奖金;定期体检;弹性工作;绩效奖金;员工旅游,
Java开发工程师,北京乐智才云信息科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,1.5-2万/月,北京-东城区,5-7年经验,本科,招1人,03-24发布,,,五险一金,
Java高级研发工程师,中电科新型智慧城市研究院有限公司,国企,150-500人,计算机服务(系统、数据服务、维修),0.8-1.5万/月,福州-鼓楼区,无工作经验,,招若干人,03-24发布,,,五险一金;餐饮补贴;通讯补贴;定期体检;年终奖金;专业培训,
Java开发工程师,杭州尤拉夫科技有限公司,民营公司,少于50人,计算机软件,0.5-1.5万/月,杭州-西湖区,1年经验,大专,招若干人,03-24发布,,,五险一金;员工旅游;年终奖金;绩效奖金;专业培训;弹性工作,
Java开发工程师,广州市唯景互娱信息科技有限公司,民营公司,50-150人,计算机软件,0.6-1.5万/月,珠海-珠海高新区,3-4年经验,本科,招20人,03-24发布,,,,
JAVA软件工程师（驻呼和浩特）				(职位编号：SD39),上海阳关网络信息技术有限公司,民营公司,50-150人,计算机软件,0.5-1万/月,呼和浩特,2年经验,本科,招3人,03-24发布,,计算机科学与技术 软件工程,交通补贴;餐饮补贴;通讯补贴;专业培训,
Java开发工程师,武汉市瑞思信息技术有限公司,民营公司,50-150人,计算机软件,0.8-1万/月,武汉-洪山区,2年经验,本科,招1人,03-24发布,,,五险一金;专业培训;员工旅游;餐饮补贴;通讯补贴;绩效奖金;年终奖金;交通补贴;过节费,
