,Unnamed: 0,Unnamed: 0.1,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,ReleaseTime,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
0,0,0,文员/数据分析（可实习）,上海坤元信息科技有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),3-4.5千/月,上海,无工作经验,大专,招2人,03-26发布,五险一金;员工旅游;专业培训;餐饮补贴;绩效奖金;年终奖金;弹性工作,2,3.0,4.5,1
1,1,1,推广与数据分析专员,青木数字技术股份有限公司,民营公司,500-1000人,互联网/电子商务,4-8千/月,广州,无工作经验,不限学历,招5人,03-26发布,五险一金;定期体检;年终奖金;周末双休,2,4.0,8.0,1
2,2,2,数据分析经理,武汉众汇信资产管理有限公司,民营公司,1000-5000人,金融/投资/证券,1-1.5万/月,武汉,5-7年经验,本科,招1人,03-26发布,五险一金,3,10.0,15.0,1
3,3,3,数据分析产品经理,杭州宸才企业管理有限公司,民营公司,少于50人,教育/培训/院校,2-4万/月,杭州,3-4年经验,本科,招1人,03-26发布,五险一金;年终奖金;绩效奖金;餐饮补贴,3,20.0,40.0,1
4,4,4,高级数据分析师,苏州瑞翼信息技术有限公司,民营公司,150-500人,通信/电信运营、增值服务,1.5-3万/月,苏州,5-7年经验,本科,招2人,03-26发布,五险一金;员工旅游;专业培训;绩效奖金;年终奖金,3,15.0,30.0,1
5,5,5,数据分析师,瑞庭网络技术（上海）有限公司无锡分公司,上市公司,10000人以上,计算机软件,0.8-1万/月,无锡,3-4年经验,本科,招1人,03-26发布,五险一金;专业培训;年终奖金;定期体检;高温补贴;取暖补贴;节假日福利;生日福利;免费体检,3,8.0,10.0,1
6,6,6,数据分析及AI开发工程师,上海新增鼎数据科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),1-1.5万/月,上海,2年经验,本科,招若干人,03-26发布,五险一金;通讯补贴;年终奖金;员工旅游;弹性工作;定期体检;专业培训,3,10.0,15.0,1
7,7,7,销售数据分析,诺记轮胎商贸（上海）有限公司,外资（欧美）,50-150人,汽车及零配件,0.8-1万/月,上海,2年经验,本科,招1人,03-26发布,做五休二;带薪年假;五险一金;每年体检;年底双薪,3,8.0,10.0,1
8,8,8,客户服务中心-数据分析工程师(J13595),金风科技-风机单元-质控中心,民营公司,1000-5000人,电气/电力/水利,1.5-2万/月,北京,3-4年经验,本科,招1人,03-26发布,五险一金,3,15.0,20.0,1
9,9,9,大数据分析师助理,青岛莱牛教育有限公司,民营公司,150-500人,教育/培训/院校,6-8千/月,青岛,无工作经验,大专,招2人,03-26发布,五险一金;专业培训;员工旅游;年终奖金;弹性工作,2,6.0,8.0,1
10,10,10,数据分析实习生（底薪4.5K+奖金）,广州万德信息咨询服务有限公司,合资,150-500人,金融/投资/证券,6-8千/月,广州,无工作经验,中专,招6人,03-26发布,五险一金,2,6.0,8.0,1
11,11,11,数据分析专员,广州家乐餐饮管理有限公司,民营公司,少于50人,餐饮业,3.5-6千/月,广州,无工作经验,不限学历,招2人,03-26发布,员工旅游;专业培训;绩效奖金;股票期权;单双休;包午餐,2,3.5,6.0,1
12,12,12,数据分析专员/风控评估专员,广州酷旅旅行社有限公司,民营公司,1000-5000人,互联网/电子商务,6-8千/月,广州,2年经验,本科,招2人,03-26发布,五险一金,2,6.0,8.0,1
13,13,13,数据分析师-北京-18660				(职位编号：18660),优信集团,民营公司,10000人以上,通信/电信/网络设备,1.5-2.5万/月,北京,无工作经验,不限学历,招1人,03-26发布,五险一金;通讯补贴;绩效奖金;交通补贴,3,15.0,25.0,1
