教师招聘考试心理学教师,江西聚英敏试教育咨询有限公司,民营公司,150-500人,教育/培训/院校,0.5-1.2万/月,南昌,无工作经验,硕士,招3人,03-31发布,,,员工旅游;专业培训;出国机会;年终奖金;定期体检;过节费;司龄补贴;各种礼金;六险一金,
心理咨询顾问无责3000+提成社保,武汉相忆深信息技术有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),0.8-1万/月,武汉-洪山区,2年经验,,招10人,03-30发布,,,,
心理教研助理,学狼博瑞教育科技（北京）有限公司,民营公司,50-150人,教育/培训/院校,2-4千/月,石家庄,无工作经验,本科,招2人,03-29发布,,,节日福利;专业培训;绩效奖金;五险一金,
心理咨询师,陕西思尔生物科技有限公司,民营公司,50-150人,互联网/电子商务,3-7千/月,西安,3-4年经验,大专,招若干人,03-29发布,,,绩效奖金;年终奖金;美女多;员工福利;工作氛围轻松,
心理服务项目经理,重庆普瑞森特企业管理顾问有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),4.5-6千/月,重庆-江北区,3-4年经验,本科,招2人,03-29发布,,应用心理学,,
心理咨询师,湖南微正法育教育科技有限公司,民营公司,少于50人,教育/培训/院校,4-6千/月,长沙-天心区,1年经验,本科,招1人,03-29发布,,心理学 应用心理学,五险一金;餐饮补贴;绩效奖金;年终奖金;周末双休;住房补贴;早九晚五,
情感客服/心理咨询师（代招）,广州摘星者信息科技有限公司,民营公司,150-500人,互联网/电子商务,2.5-5千/月,广州-海珠区,无工作经验,,招若干人,03-26发布,,,五险一金;专业培训;年终奖金;定期体检;全勤奖;节日福利;员工旅游,
浦东万科学校心理教师,上海德英乐教育投资有限公司,民营公司,500-1000人,教育/培训/院校,6-8千/月,上海,2年经验,本科,招若干人,03-27发布,,,五险一金;交通补贴;通讯补贴;餐饮补贴,
销售代表6000-8500起薪/二本以上,北京丽兹行房地产顾问有限公司-BJ4,民营公司,1000-5000人,金融/投资/证券,0.8-1万/月,北京-朝阳区,无工作经验,本科,招8人,03-31发布,,,节日福利;带薪年假;全勤奖;绩效奖金;专业培训;六险一金;年终奖金;员工旅游,
电话销售双休包住底薪4000+,深圳市优泰数据科技有限公司,民营公司,150-500人,互联网/电子商务,1-1.5万/月,深圳-福田区,2年经验,中专,招6人,03-31发布,,,五险一金;包住宿;带薪年假;大小周;专业培训;绩效奖金,
资深国际期货分析师助理（底薪+五险一金+双休),广州市大睿杭实业投资有限公司,民营公司,50-150人,金融/投资/证券,0.8-1万/月,广州-天河区,无工作经验,高中,招5人,03-31发布,,,五险一金;年终奖金;弹性工作;定期体检;股票期权;绩效奖金;专业培训;员工旅游;出国机会;周末双休,
上海就近工作+专业培训投资理财/销售管培生,上海丽兹行-SH08,民营公司,1000-5000人,房地产,1-5万/月,上海-嘉定区,无工作经验,本科,招20人,03-31发布,,,绩效奖金;全勤奖;节日福利;专业培训;五险一金;带薪年假;员工旅游;晋升机会多;人际简单;逢节必过,
上海链家房产、销售、本科起招、就近安排、住宿,上海链家,民营公司,10000人以上,房地产,0.8-1万/月,上海-浦东新区,无工作经验,本科,招10人,03-31发布,,,弹性工作;带薪年假;包住宿;绩效奖金;节日福利;专业培训;全勤奖;国内外旅游,
