数据分析员(双休+无责任底薪),广州华臻信息咨询服务有限公司,民营公司,150-500人,金融/投资/证券,1-1.5万/月,广州-天河区,无工作经验,高中,招10人,03-26发布,,,五险一金;员工旅游;出国机会;专业培训;股票期权;弹性工作;周末双休;年终奖金;绩效奖金,
文员/数据分析（可实习）,上海坤元信息科技有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),3-4.5千/月,上海-虹口区,无工作经验,大专,招2人,03-26发布,,,五险一金;员工旅游;专业培训;餐饮补贴;绩效奖金;年终奖金;弹性工作,
推广与数据分析专员,青木数字技术股份有限公司,民营公司,500-1000人,互联网/电子商务,4-8千/月,广州,无工作经验,,招5人,03-26发布,,,五险一金;定期体检;年终奖金;周末双休,
数据分析经理,武汉众汇信资产管理有限公司,民营公司,1000-5000人,金融/投资/证券,1-1.5万/月,武汉-武昌区,5-7年经验,本科,招1人,03-26发布,,,,
数据分析产品经理,杭州宸才企业管理有限公司,民营公司,少于50人,教育/培训/院校,2-4万/月,杭州-西湖区,3-4年经验,本科,招1人,03-26发布,,,五险一金;年终奖金;绩效奖金;餐饮补贴,
高级数据分析师,苏州瑞翼信息技术有限公司,民营公司,150-500人,通信/电信运营、增值服务,1.5-3万/月,苏州-工业园区,5-7年经验,本科,招2人,03-26发布,,,五险一金;员工旅游;专业培训;绩效奖金;年终奖金,
数据分析师,瑞庭网络技术（上海）有限公司无锡分公司,上市公司,10000人以上,计算机软件,0.8-1万/月,无锡,3-4年经验,本科,招1人,03-26发布,,,五险一金;专业培训;年终奖金;定期体检;高温补贴;取暖补贴;节假日福利;生日福利;免费体检,
数据分析及AI开发工程师,上海新增鼎数据科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),1-1.5万/月,上海-浦东新区,2年经验,本科,招若干人,03-26发布,,,五险一金;通讯补贴;年终奖金;员工旅游;弹性工作;定期体检;专业培训,
销售数据分析,诺记轮胎商贸（上海）有限公司,外资（欧美）,50-150人,汽车及零配件,0.8-1万/月,上海-普陀区,2年经验,本科,招1人,03-26发布,英语良好,,做五休二;带薪年假;五险一金;每年体检;年底双薪,
客户服务中心-数据分析工程师(J13595),金风科技-风机单元-质控中心,民营公司,1000-5000人,电气/电力/水利,1.5-2万/月,北京,3-4年经验,本科,招1人,03-26发布,,,,
大数据分析师助理,青岛莱牛教育有限公司,民营公司,150-500人,教育/培训/院校,6-8千/月,青岛,无工作经验,大专,招2人,03-26发布,,,五险一金;专业培训;员工旅游;年终奖金;弹性工作,
数据分析实习生（底薪4.5K+奖金）,广州万德信息咨询服务有限公司,合资,150-500人,金融/投资/证券,6-8千/月,广州-天河区,无工作经验,中专,招6人,03-26发布,,,,
数据分析专员,广州家乐餐饮管理有限公司,民营公司,少于50人,餐饮业,3.5-6千/月,广州-天河区,无工作经验,,招2人,03-26发布,,,员工旅游;专业培训;绩效奖金;股票期权;单双休;包午餐,
数据分析专员/风控评估专员,广州酷旅旅行社有限公司,民营公司,1000-5000人,互联网/电子商务,6-8千/月,广州,2年经验,本科,招2人,03-26发布,,,,
数据分析师-北京-18660				(职位编号：18660),优信集团,民营公司,10000人以上,通信/电信/网络设备,1.5-2.5万/月,北京-朝阳区,无工作经验,,招1人,03-26发布,,,五险一金;通讯补贴;绩效奖金;交通补贴,
大数据分析师,成都聚思力信息技术有限公司,外资（欧美）,500-1000人,计算机软件,2-3万/月,成都,5-7年经验,本科,招1人,03-26发布,英语良好,,弹性工作;餐饮补贴;交通补贴;专业培训;完善发展平台;师傅带教;优秀可转正;节假日福利,
大数据分析师,舟谱数据技术南京有限公司,民营公司,150-500人,互联网/电子商务,1.2-2万/月,南京,3-4年经验,本科,招1人,03-26发布,,,,
高级数据分析师,广州摘星者信息科技有限公司,民营公司,150-500人,互联网/电子商务,1.5-2万/月,广州-海珠区,8-9年经验,本科,招1人,03-26发布,英语良好,,五险一金;补充医疗保险;专业培训;绩效奖金;年终奖金;朝九晚六;弹性工作,
数据分析师,惠州贝壳闹海房地产经纪有限公司,民营公司,10000人以上,互联网/电子商务,5-8千/月,惠州,无工作经验,本科,招若干人,03-26发布,,,五险一金;员工旅游;专业培训;定期体检;周末双休,
Sr.ClinicalDataCoordinator临床数据分析员,昆泰企业管理（上海）有限公司北京分公司,外资（欧美）,500-1000人,医疗/护理/卫生,10-18万/年,北京,无工作经验,,招若干人,03-26发布,,,五险一金;补充医疗保险;补充公积金;餐饮补贴;通讯补贴;交通补贴;绩效奖金,
临床监察数据分析助理（日语）,昆泰医药发展（大连）有限公司,外资（欧美）,150-500人,医疗/护理/卫生,6-8千/月,大连-高新园区,无工作经验,本科,招1人,03-26发布,,,五险一金;餐饮补贴;通讯补贴;补充医疗保险;交通补贴;定期体检;弹性工作,
咨询项目实施顾问/产品及数据分析顾问,湖北国网华中科技开发有限责任公司,民营公司,150-500人,计算机软件,0.6-1万/月,武汉-洪山区,无工作经验,本科,招4人,03-26发布,,,弹性工作;绩效奖金;免费午餐;市场奖励;通讯补贴;五险一金;定期体检,
数据分析师,武汉白洞信息技术有限公司,民营公司,50-150人,餐饮业,0.5-1万/月,武汉-汉阳区,3-4年经验,本科,招1人,03-26发布,,,员工旅游;绩效奖金;年终奖金;晋升空间大;定期聚餐;员工生日会;工龄奖金;五险,
物流运营管控岗（数据分析）,九州通医药集团物流有限公司,上市公司,10000人以上,交通/运输/物流,4-7千/月,武汉-东西湖区,无工作经验,,招3人,03-26发布,,,周末双休;带薪年假;五险一金;包三餐;包住宿;免费班车;绩效奖金;节日福利;住房补贴;加班补贴,
财经数据分析流程（日语）,印孚瑟斯技术（中国）有限公司杭州分公司,外资（非欧美）,1000-5000人,计算机服务(系统、数据服务、维修),4-5.5千/月,大连-高新园区,无工作经验,本科,招5人,03-26发布,,日语熟练,带薪年假;五险一金;周末双休;专业培训;节日福利;绩效奖金,
数据分析师,上海韩创网络科技有限公司,民营公司,500-1000人,互联网/电子商务,1-1.5万/月,上海-浦东新区,1年经验,,招1人,03-26发布,,,五险一金;弹性工作;年终奖金;虚拟期权;读书文化,
数据分析师,上海合合信息科技发展有限公司,合资,150-500人,计算机软件,1-2万/月,上海-静安区,无工作经验,,招1人,03-26发布,,,五险一金;弹性工作;餐饮补贴;员工旅游;定期体检,
数据分析师,德高广告（上海）/申通德高,外资（欧美）,500-1000人,广告,0.8-2万/月,上海-长宁区,2年经验,本科,招1人,03-26发布,英语一般,,五险一金;补充医疗保险;交通补贴;餐饮补贴;通讯补贴;定期体检;带薪年假;年终奖金,
电商运营助理（商品管理数据分析方向，可本科应届生）,杭州拓路者服饰有限公司,民营公司,150-500人,服装/纺织/皮革,3.5-5.5千/月,杭州,无工作经验,本科,招1人,03-26发布,,,带薪年假;弹性工作;绩效奖金;餐饮补贴;住房补贴;加班补贴;节日福利,
数据分析师,北京一招科技有限公司,民营公司,少于50人,广告,0.6-1.2万/月,北京-朝阳区,2年经验,大专,招1人,03-26发布,,,五险一金;员工旅游;年终奖金;节日福利;超长年假,
数据分析师/COPCAnalyst,北京互联企信信息技术有限公司西安分公司,外资（欧美）,10000人以上,外包服务,4.5-6千/月,西安,1年经验,本科,招1人,03-26发布,英语良好,,做五休二;带薪年假;五险一金;节日福利;专业培训;绩效奖金;交通补贴;餐饮补贴;周末双休;弹性工作,
财务数据分析师,震坤行工业超市（上海）有限公司,民营公司,500-1000人,互联网/电子商务,1.5-2万/月,上海,5-7年经验,本科,招若干人,03-26发布,,,五险一金;补充医疗保险;员工旅游;交通补贴;绩效奖金;定期体检;餐饮补贴;通讯补贴,
数据分析师,广州爱财在线互联网信息服务有限公司,民营公司,50-150人,金融/投资/证券,0.5-1万/月,广州-天河区,2年经验,大专,招1人,03-26发布,,,五险一金;绩效奖金;年终奖金;专业培训;员工旅游;周末双休;写字楼办公,
数据分析师,广州市丰申网络科技有限公司,民营公司,50-150人,互联网/电子商务,4-8千/月,广州-天河区,无工作经验,,招若干人,03-26发布,,,周末双休;绩效奖金;年终双薪;员工旅游;定期体检;带薪休假;节日福利;团队聚餐;五险一金;弹性工作,
游戏运营-数据分析,上海游雁网络科技有限公司广州分公司,民营公司,150-500人,网络游戏,5-8千/月,广州-天河区,无工作经验,,招1人,03-26发布,,,五险一金;员工旅游;年终奖金;绩效奖金;专业培训;定期体检;弹性工作,
数据分析师,上海立羿贸易有限公司,外资（欧美）,150-500人,贸易/进出口,0.8-1万/月,上海-黄浦区,2年经验,本科,招2人,03-26发布,,,周末双休;带薪年假;五险一金;免费班车;绩效奖金;节日福利;交通补贴;餐饮补贴;住房补贴;通讯补贴,
数据分析员,安徽象形信息科技有限公司,民营公司,50-150人,计算机软件,4.5-6千/月,合肥-蜀山区,无工作经验,本科,招若干人,03-26发布,,,,
商贸助理-数据分析方向,李锦记（中国）销售有限公司,外资（非欧美）,1000-5000人,快速消费品(食品、饮料、化妆品),6-8千/月,上海,2年经验,大专,招1人,03-26发布,,,五险一金;补充医疗保险;通讯补贴;餐饮补贴;定期体检;年终奖金,
数据分析师				(职位编号：globalegrow001754),深圳市环球易购电子商务有限公司,上市公司,5000-10000人,互联网/电子商务,0.8-1.5万/月,深圳-南山区,无工作经验,本科,招10人,03-26发布,,,,
内控经理（数据分析）,益修（上海）商业设施有限公司,民营公司,150-500人,建筑/建材/工程,1-1.5万/月,上海-静安区,5-7年经验,本科,招1人,03-26发布,,,五险一金;通讯补贴;绩效奖金;定期体检,
数据分析助理-华为,上海泰仕达人力资源有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),0.8-1万/月,深圳-龙岗区,2年经验,本科,招3人,03-26发布,,,双休;五险一金;绩效奖金;餐饮补贴;年终奖金;交通补贴,
数据分析专员,广州市为众控股有限公司,外资（欧美）,1000-5000人,汽车及零配件,3.5-5千/月,广州-增城,2年经验,,招1人,03-26发布,,,五险一金;包住宿;绩效奖金;全勤奖;节日福利;餐补,
实验/数据分析员,上海回天新材料有限公司,上市公司,1000-5000人,石油/化工/矿产/地质,0.8-1万/月,上海,2年经验,本科,招若干人,03-26发布,,,五险一金;免费班车;交通补贴;股票期权;定期体检;餐饮补贴;通讯补贴;专业培训;绩效奖金;年终奖金,
商品专员-商品数据分析方向,深圳市泽汇科技有限公司,民营公司,1000-5000人,贸易/进出口,0.7-1.4万/月,深圳-龙岗区,3-4年经验,大专,招3人,03-26发布,,,带薪年假;五险;全勤奖;节日福利;年度旅游,
数据分析文员,上海发网供应链管理有限公司,合资,1000-5000人,互联网/电子商务,3.5-4.5千/月,广州-花都区,无工作经验,中专,招3人,03-26发布,,,节日福利;全勤奖;专业培训;餐饮补贴,
产品经理-数据分析-2019届-LEO,合肥维天运通信息科技股份有限公司,民营公司,500-1000人,互联网/电子商务,5-7千/月,合肥,无工作经验,本科,招若干人,03-26发布,,,五险一金;补充医疗保险;员工旅游;交通补贴;通讯补贴;专业培训;绩效奖金;年终奖金;股票期权,
商品数据分析专员,杭州十古品牌管理有限公司,民营公司,150-500人,互联网/电子商务,0.7-1万/月,杭州-西湖区,无工作经验,,招1人,03-26发布,,,带薪年假;全勤奖;节日福利;专业培训;交通补贴;高温补贴;通讯补贴;住房补贴;餐饮补贴,
数据分析师（五险一金）,吉林省聚亨教育科技有限公司,民营公司,150-500人,教育/培训/院校,3-4.5千/月,长春-朝阳区,无工作经验,,招1人,03-26发布,,,,
数据分析师,重庆市瑞德铭科技发展有限公司成都分公司,上市公司,1000-5000人,计算机软件,0.8-1.2万/月,成都-高新区,3-4年经验,本科,招5人,03-26发布,,数学与应用数学,五险一金;补充医疗保险;补充公积金;免费班车;员工旅游;餐饮补贴;专业培训;绩效奖金;年终奖金;定期体检,
数据分析师,上海戎浦贸易有限公司,民营公司,500-1000人,贸易/进出口,1.5-2万/月,上海-闵行区,5-7年经验,本科,招2人,03-26发布,英语一般,统计学 计算机科学与技术,,
数据分析师/DBA(数据库管理员）,福建南威软件有限公司,民营公司,500-1000人,计算机软件,1-1.5万/月,泉州,2年经验,大专,招2人,03-26发布,,,五险一金;员工旅游;交通补贴;年终奖金;通讯补贴;餐饮补贴;定期体检,
数据分析专员,深圳市晨光乳业有限公司,国企,1000-5000人,快速消费品(食品、饮料、化妆品),0.8-1万/月,深圳,3-4年经验,本科,招1人,03-26发布,,,五险一金;年终奖金;绩效奖金;专业培训;定期体检,
数据分析专员,重庆立鼎科技有限公司,民营公司,500-1000人,计算机软件,3.4-5千/月,重庆-江北区,1年经验,本科,招5人,03-26发布,,,社保五险;专业培训;绩效奖金;定期体检;节日福利;生日礼金;国外旅游;员工活动,
商品专员/商品数据分析,岩脉（上海）网络科技有限公司,民营公司,150-500人,互联网/电子商务,6-8千/月,上海-闵行区,1年经验,大专,招1人,03-26发布,,,周末双休;带薪年假;五险一金;绩效奖金;全勤奖;节日福利,
